Community,Replicate,Plate,mgCO2.7,mgCO2.14,CPM7,CPM14,pgRPC.7,pgRPC.14,ATP1,ATP4,ATP7,ATP14,mG7,mG14,mN7,mN14,mX7,mX14,mP7,mP14
AE85,4,A,2.60E-02,2.60E-01,295800,472600,0.088965967,0.554676098,7124,5356,3712,3287.8,14.4,14.8,6.4,4.8,5.2,6,539.2,736.4
AE86,1,A,1.30E+00,6.40E-01,448000,135000,2.870353703,4.75011235,2040.2,294.4,682.6,465.4,5.2,6,4.4,5.2,5.2,4.8,64.4,156
AE86,2,A,4.40E-01,3.20E-01,294200,335000,1.509584669,0.966461863,6100.4,3728.6,5562.8,3025,13.2,11.2,6.4,6,7.6,7.2,725.6,599.2
AE86,3,A,8.80E-01,7.00E-01,330400,537400,2.667227311,1.3076076,527.8,781,1129.2,475.2,14,5.2,4.4,4.4,5.6,5.2,121.6,107.6
AE86,4,A,2.80E-03,2.20E-01,84200,288400,0.03300752,0.759261487,1879.4,321.6,361.2,837.4,6.4,6.8,6,4.8,4.8,5.6,82,158.8
AE87,1,A,1.00E+00,5.90E-01,603000,559200,1.651856964,1.049807009,7633,8013.2,14728.4,14691,10,34.8,6.8,12,7.2,6.8,492.8,1428.4
AE87,2,A,4.40E-01,5.40E-01,150600,417600,2.895844882,1.291406813,7829.2,5802.2,6654.8,5522,25.6,7.6,22.8,6.8,6,6,449.2,388.8
AE87,3,A,5.80E-01,4.90E-01,85200,456400,6.775427091,1.083230228,4744.2,7200.8,9952.6,7828.6,84.4,22.8,9.2,10.4,7.2,6,142,752
AE87,4,A,2.20E-03,2.20E-01,176200,193600,0.012463778,1.114434954,6545,2394.2,4302.6,3547.6,25.6,9.6,6.8,5.2,17.6,6.4,394.8,322
AE88,1,A,1.20E+00,8.10E-01,1621200,317600,0.761664862,2.546661783,25869.2,5224.2,19113.2,14846.4,14.4,39.6,8,12.8,8.8,9.2,590,1806.8
AE88,2,A,6.00E-01,6.20E-01,213000,292200,2.818235537,2.135364425,6080.8,7823.8,6654,5600.2,21.6,19.6,10,8.8,8,9.6,690,514.4
AE88,3,A,5.00E-01,2.30E-01,161800,114000,3.109666264,1.992653215,7541.4,18888.2,12197,7655.6,104.8,31.2,8,9.6,8,7.2,136.8,1114
AE88,4,A,1.60E-02,3.00E-01,57400,344200,0.276949417,0.885839796,5682,2192,4215,4656.2,24.4,25.2,8,7.6,8.8,7.6,627.6,726.8
AE89,1,A,1.20E+00,7.10E-01,1159600,135800,1.026751557,5.229781976,22719.8,9570.4,36252.2,15361.8,66,59.6,8.8,8.4,10.4,8.4,984.8,1698
AE89,2,A,4.30E-01,5.10E-01,209000,338000,2.048865012,1.50604732,5324.4,7200.6,5875.2,4604.8,28.4,14,8.4,8.4,6.4,7.2,467.6,400
AE89,3,A,7.60E-01,5.60E-01,182800,428200,4.181039964,1.303239342,7947.2,8553.6,9351.8,8691,126.4,30,6.8,7.2,8,6.8,156.8,1234.8
AE89,4,A,1.40E-02,3.10E-01,64600,388600,0.216944432,0.795231182,3827.2,4388.2,3888,4681.6,27.6,21.6,7.2,6.8,8,7.6,429.6,556
AE90,1,A,1.80E+00,8.60E-01,1460800,243400,1.218502479,3.548917782,11490.6,7229.2,7120.6,7049.2,6,9.2,5.6,5.6,6,5.6,404.4,711.2
AE90,2,A,3.50E-01,3.90E-01,208000,362400,1.705500999,1.063368746,9587.6,6001.6,6357.2,4888.2,19.2,14.4,9.6,15.6,5.6,6.4,546.4,421.2
AE90,3,A,7.70E-01,6.10E-01,112000,243000,6.859530041,2.511719087,1134.4,4474.6,9073.6,6040.6,32.4,18.8,6,6.4,6.4,5.2,134.4,1270
AE90,4,A,2.20E-02,2.30E-01,142600,339600,0.152137656,0.683691411,7356.6,2914.6,4523,4213.2,16,17.6,6.8,9.2,8.4,6.4,576.4,644.8
AE91,1,A,1.70E+00,9.40E-01,254000,49800,6.53287161,18.96195359,4544.6,5621.4,26256.6,13593.4,72.4,86.4,12,11.2,16.4,12,462.4,1458.8
AE91,2,A,4.90E-01,6.40E-01,165400,226600,2.971532726,2.829943368,8200.2,5484,8543,7028.2,24,21.6,7.2,7.6,6.4,7.2,657.6,638
AE91,3,A,4.10E-01,9.00E-01,102000,262200,4.021336631,3.445508956,8238.2,9146.2,10032.2,9437.2,118.8,51.6,5.6,6,8,6.8,156,537.6
AE91,4,A,9.50E-03,2.90E-01,106000,124800,0.089562984,2.345996438,5237,4904.2,4962.2,5391.6,19.6,28.4,6.8,6.4,6,6.4,384.8,826.4
AE92,1,A,1.10E+00,3.90E-01,1615600,53400,0.668501994,7.307836633,196.6,103.2,1467.2,9464,9.6,24.8,4.8,6.4,5.6,5.6,200,368.8
AE92,2,A,6.60E-01,5.40E-01,250000,519400,2.621442569,1.038297045,207,5879.4,10747.4,7737,12.8,6.4,6,5.2,5.2,5.6,642.8,150.8
AE92,3,A,4.60E-01,6.10E-01,447200,471200,1.023470601,1.288157608,144.2,1421,5112.4,3250.8,24.8,10.8,4.8,4.8,6,5.2,62,150.4
AE92,4,A,1.50E-02,3.00E-01,115400,603200,0.129414858,0.502089738,279.2,2105.6,3163.2,3476,5.6,7.2,6.4,4.8,5.2,6,434,303.2
AE93,1,A,1.00E+00,5.80E-01,1845600,214600,0.563454988,2.720303154,4193.4,2386.2,3569.2,3173.4,6,7.2,6.4,5.2,6.8,5.2,618.4,621.2
AE93,2,A,3.40E-01,4.00E-01,385400,381000,0.879606874,1.050179174,4720,1921.4,6287.8,4956.6,8.8,5.2,6,5.6,9.6,8.8,222,245.2
AE93,3,A,7.10E-01,6.00E-01,697800,423800,1.017776429,1.408580185,3370.4,1405.4,3738.8,5170.8,16,9.2,4.8,5.2,8,7.6,66,184
AE93,4,A,1.10E-02,2.10E-01,193600,496800,0.055463068,0.418401983,2968.8,3471,2763.6,1831.6,8.4,6,10,5.2,5.6,6.8,184.8,176
AE94,1,A,1.10E+00,5.90E-01,1456400,126800,0.734619375,4.629748258,4643.6,13067.8,21484,16591.4,71.2,179.2,11.6,19.6,14.4,14.8,928,2831.2
AE94,2,A,4.50E-01,5.10E-01,116600,428600,3.90186362,1.18769014,4924,4351.8,5043,4959.4,12.4,16.4,7.2,8.8,6,6,277.2,419.6
AE94,3,A,7.10E-01,5.50E-01,146400,162600,4.851122898,3.412602317,5798.6,6299,7229.8,5839.4,93.2,38,5.6,6.4,8.4,6.4,114.8,285.2
AE94,4,A,7.20E-03,2.30E-01,62800,173200,0.114345399,1.302002726,4497.2,4839.8,3715.4,3518.8,18.8,20.8,6.8,8.4,9.6,6,268.8,331.6
AE96,1,A,1.30E+00,6.20E-01,553400,215200,2.323669062,2.867675168,8200.2,2562.6,8989.2,3764,12.4,12,4.4,4.8,6,6.4,1194.8,600.8
AE96,2,A,3.20E-01,3.80E-01,71400,220600,4.415724832,1.703303936,3445.6,2260,3245.4,2388.4,14,16,5.2,5.6,8,7.6,277.2,331.6
AE96,3,A,6.80E-01,6.90E-01,116400,297000,5.878151189,2.316117235,5916.2,2547.8,4765,3613.2,39.6,22.8,4.4,4.8,7.6,8,190.8,390.4
AE96,4,A,3.00E-04,2.20E-01,63400,104400,0.004799154,2.097423495,4524.8,2168.4,2317.2,2093.2,13.6,16.4,8.4,4.8,5.6,7.6,206.4,259.6
AE99,1,A,1.20E+00,6.30E-01,593000,27800,1.944175823,22.56793694,1375.8,9985.8,9381,8379.4,9.2,30.4,7.2,7.6,8,8,435.2,863.6
AE99,2,A,5.60E-01,5.80E-01,154000,324600,3.644272182,1.798450576,9275.8,6946.4,6162.6,5542.2,24.8,17.2,14.8,7.6,8.4,10,370.4,397.2
AE99,3,A,8.20E-01,8.60E-01,402800,478400,2.038925591,1.805615778,3298.2,7034.2,7478.8,10023.6,67.2,33.2,7.6,8.8,8,7.6,149.2,771.2
AE99,4,A,8.50E-03,2.40E-01,146000,303000,0.058306795,0.777464027,6661.6,2901,3798.4,4209.8,26.4,18.4,8.8,5.6,10.4,8,351.2,405.6
BB02,1,F,7.10E-02,2.20E-01,8600,124800,8.312681431,1.754575423,3686,9600.6,3569.4,10466.2,6,6.4,4.4,5.6,4.8,4.8,269.2,954.8
BB02,2,F,2.50E-01,8.30E-01,4600,46200,54.62341248,17.95804502,4045.6,14243.8,8339,5363.6,5.6,11.2,4.4,6,5.2,5.2,416.4,1011.2
BB02,3,F,4.00E-01,4.30E-01,13400,61600,30.04596967,6.909122805,3413.4,4988.6,6693.8,5721.4,11.2,16,6.8,9.6,6.4,6.4,682.8,1114.8
BB02,4,F,7.30E-02,2.20E-02,10200,28200,7.151704498,0.769320202,2757,6255.4,3691.2,3955,8.4,6.8,6.8,5.2,6,6.4,208.4,607.6
BB04,1,F,2.70E-01,2.40E-01,205200,63600,1.322878737,3.703955976,2560.6,3769.8,1311,3965.6,5.2,6,4.4,5.2,4.8,5.2,912,571.6
BB04,2,F,6.90E-01,5.60E-01,24800,64600,27.88592535,8.687583839,4263.4,2920.8,2993.2,5084.4,5.6,6,4.4,4.8,5.2,5.2,748,968.4
BB04,3,F,5.30E-01,5.10E-01,23200,47200,22.84850987,10.78483039,5176.2,5710.4,4411.2,5116.2,13.6,8,6.8,6,6.4,6,1214.4,1362.4
BB04,4,F,2.70E-01,1.10E-01,129600,29600,2.051217895,3.741144791,13,1621.2,1033,3057.2,4.8,6,4.8,4.8,5.6,6.4,50,370.4
BB05,1,F,2.80E-01,2.40E-01,195400,243400,1.457990989,0.974855603,175.8,120.6,104.2,8859.6,4.4,11.6,4.4,6,4.8,5.6,34,650.4
BB05,2,F,7.50E-01,8.10E-01,45800,145000,16.34385275,5.578067464,35.6,287.8,75.8,2505.6,4,47.2,4.4,6,4.8,5.2,40,197.6
BB05,3,F,5.50E-01,4.80E-01,43200,143800,12.69934612,3.338205978,133.6,98.8,83,2157.2,5.6,30,5.6,5.2,6.4,5.6,60.4,1091.2
BB05,4,F,3.20E-01,9.70E-02,279000,85000,1.145173957,1.136169263,14.8,81.2,63.2,60.8,5.6,5.2,4.8,4.8,5.2,6.4,47.6,69.2
BB06,1,F,2.40E-01,2.20E-01,19400,172600,12.31943204,1.259319463,8.4,9,6.2,9518,4.4,11.2,4.4,6.8,4.8,5.6,31.2,829.6
BB06,2,F,6.80E-01,7.00E-01,7600,43000,89.06828354,16.16905165,8.4,8.6,5.4,6201.6,4,4.8,4,4.8,5.2,5.2,40,128.8
BB06,3,F,5.20E-01,4.20E-01,6000,30000,86.83212168,13.84242777,9.2,8,9,1383.2,5.6,28,6,5.6,6.4,5.6,60.8,811.6
BB06,4,F,2.90E-01,1.70E-01,16600,20200,17.63737081,8.623834037,2799.2,11.2,9.6,8.4,15.2,5.2,6.8,4.8,5.2,6.4,300.8,65.2
BB07,1,F,3.00E-01,3.60E-01,137000,69000,2.225591662,5.174425604,10.2,12,6.6,9956.2,4.4,13.6,4.4,6,5.6,5.6,31.2,518.8
BB07,2,F,7.60E-01,1.00E+00,23800,50000,32.11319771,20.11391284,11,9.2,5.4,3031.2,3.6,10.4,3.6,5.2,4.8,5.2,40.4,412.4
BB07,3,F,6.60E-01,5.60E-01,36600,62400,17.90602847,8.993876859,11,7.4,9,2637,5.6,37.6,6,5.6,6.8,5.6,60,1096
BB07,4,F,3.50E-01,1.60E-01,44600,27600,7.801211935,5.87553685,2936.8,12.4,9.4,10.8,11.6,6,5.6,4.4,5.2,6.4,260.8,65.6
BB08,1,F,1.10E-01,1.80E-01,88400,577200,1.286649606,0.318774488,200.2,194.4,114.4,10512.6,4.4,53.2,4,6.4,4.8,6.8,34.4,880.4
BB08,2,F,2.70E-01,4.40E-01,6600,113000,40.84440188,3.859418046,256.8,114.2,1034.8,5222.2,9.6,753.2,5.2,12,5.2,6,46,1428
BB08,3,F,3.50E-01,3.80E-01,61600,162200,5.721812048,2.331297824,147.2,725.2,280.8,1798.6,6.4,21.6,5.6,5.6,6.4,6.4,63.6,900
BB08,4,F,1.20E-01,1.30E-02,72400,54600,1.613256057,0.236682354,2772,112,83.4,1374.8,14,22.8,6.8,9.6,6.4,7.2,296.8,92
BB09,1,F,2.80E-01,1.70E-01,61200,239000,4.528697426,0.71746037,2775.8,9919.6,1410.2,6389.6,11.2,36,4.4,5.2,5.2,5.6,413.6,923.6
BB09,2,F,9.30E-01,8.10E-01,101200,110800,9.194958504,7.299817529,4529,7842.6,4468.2,5859.4,24.4,37.6,4.8,5.6,5.6,6,692.8,1595.6
BB09,3,F,9.30E-01,5.10E-01,52600,323000,17.69068062,1.594407079,5831.4,5744.2,6358.8,4233.4,89.6,74,6.8,6,6.4,6.8,1003.2,1044.4
BB09,4,F,1.70E-01,1.30E-01,148000,110800,1.140374471,1.130397773,5054.6,5159.8,1941.8,4024.6,7.6,56.4,5.6,4.8,5.2,6.8,90.4,957.6
BB10,1,F,9.30E-02,2.50E-01,1600,311800,58.14299986,0.794473088,10.8,8.6,6.8,9067.4,4.4,20.8,4,5.2,4.8,5.2,35.6,882.8
BB10,2,F,2.20E-01,9.50E-01,4600,14200,47.6023941,67.15280843,12.4,10.2,33827.6,3454.8,7.6,7.2,5.2,5.6,8.4,5.6,45.6,235.2
BB10,3,F,3.80E-01,4.70E-01,1000,205200,375.7488482,2.270873924,8.6,6.2,11.6,2138.2,5.6,30.4,6,5.6,6.4,6,61.2,1079.6
BB10,4,F,6.70E-02,5.00E-02,3400,86600,19.57336741,0.574690307,1444,11.8,8.2,1810.6,18.8,55.6,4.8,6.8,5.2,6.8,662.8,90.8
BB11,1,F,2.00E-01,1.80E-01,148000,797000,1.32208295,0.229076169,112.4,82.2,51.2,8224.6,4.4,22.8,4.4,5.2,4.8,5.6,36,815.6
BB11,2,F,7.20E-01,6.20E-01,174600,154200,4.11086878,4.024201333,55.4,54,58.4,3674.6,4,5.2,4,4.8,5.6,5.2,40.8,268.4
BB11,3,F,5.80E-01,4.90E-01,158800,163200,3.655637094,3.029327672,60,49.6,45,2165.6,6,31.2,5.6,5.6,6.4,6,60.8,1022
BB11,4,F,2.20E-01,6.10E-02,347000,444600,0.640408341,0.136222762,4750,34.8,27.8,481,6,17.6,5.2,8,5.6,6.8,53.2,82.8
BB12,1,F,2.70E-01,2.30E-01,25000,51400,10.85818867,4.550042655,29.8,21.8,14.4,9855.2,4.4,56.4,4.4,5.6,4.8,6.8,36,1194
BB12,2,F,8.50E-01,7.40E-01,20000,23600,42.33052858,31.22428143,14.2,17,13,5398,4,6,4,5.6,5.2,5.2,40.8,239.2
BB12,3,F,6.30E-01,5.10E-01,7000,31000,90.61423826,16.51653346,19.4,15,14.2,2151.2,6,32,6,6,6.4,6,64.8,1018.8
BB12,4,F,2.90E-01,1.80E-01,82200,66800,3.537635169,2.690891815,14.4,13.6,11.2,13,5.2,5.6,5.2,4.8,4.8,6.8,52,72.8
BB14,1,F,1.40E-01,1.00E-01,113200,76800,1.267205045,1.341289626,17.4,18.6,10.4,8995.6,4.4,9.2,4.4,6,4.8,5.6,35.2,462
BB14,2,F,4.50E-01,5.10E-01,18400,49400,24.57773517,10.36462626,14.2,22.4,16.2,2197.6,3.6,4.4,4,4.8,4.8,5.2,40.8,158.4
BB14,3,F,5.30E-01,3.50E-01,20200,20000,26.09118694,17.39670261,100.8,120.4,116.2,1439.8,5.2,23.2,5.2,5.2,6,5.6,60,695.2
BB14,4,F,1.60E-01,5.30E-02,61600,41200,2.590477041,1.291234284,4262.8,30,27,4272.8,10.4,5.6,5.6,4.4,14.8,6.4,368.8,312
BB15,1,F,1.80E-01,1.80E-01,395800,488600,0.461277682,0.359347683,46,1280.8,1105.4,2523.2,4.8,6.4,5.2,6,4.8,5.2,340.4,559.6
BB15,2,F,6.30E-01,7.10E-01,137200,168800,4.623175421,4.229703024,29.6,1869.8,1860,5926.6,4,4.4,5.2,5.2,5.2,5.2,147.6,220.8
BB15,3,F,5.10E-01,3.70E-01,114000,321400,4.517486725,1.161705137,2335,1417.6,802.4,483,5.2,7.2,8,6.4,6,5.6,101.6,255.2
BB15,4,F,2.50E-01,9.80E-02,229800,83400,1.085673055,1.17965317,5377.4,1600.8,1745,413.4,10.8,5.6,5.2,4.8,5.2,6.4,275.2,522.4
BB16,1,F,9.00E-02,1.10E-01,31600,65400,2.861761362,1.663126435,1282.6,790,635.2,2383.6,5.6,7.2,4.8,5.2,4.8,5.6,777.2,490.8
BB16,2,F,2.10E-01,4.10E-01,13400,72200,15.98202902,5.681112692,2514.6,948.6,765,4550.6,4.8,8,4.4,5.6,5.6,5.6,200.4,232.4
BB16,3,F,3.00E-01,3.20E-01,15400,29800,19.79909466,10.86458805,1414.8,612.2,668,1019.8,11.2,16,5.6,6,6,5.6,127.6,170.4
BB16,4,F,1.30E-01,1.80E-02,23600,6400,5.587532567,2.805331139,3270.2,574.8,677.4,1154.8,8.4,9.6,8.8,4.8,5.2,6.4,209.2,250.4
BB17,1,F,1.80E-01,1.00E-01,55600,78600,3.309291992,1.322583298,4288.2,17565.4,13952.4,15600.8,6,6,4.8,5.6,5.2,5.6,36,78.8
BB17,2,F,7.60E-01,6.80E-01,22400,99600,34.12027256,6.796375049,484.6,17161.8,15617.6,9362.8,4.8,254.8,4.4,6.4,5.2,5.2,41.2,92.4
BB17,3,F,7.50E-01,4.90E-01,50200,200000,14.91132382,2.457457564,19673.6,24168.2,18379.8,1011.6,6,12,5.6,5.6,6.4,5.2,60.8,480
BB17,4,F,1.20E-01,2.60E-02,41600,12400,2.783011642,2.122268805,4768,13012.4,10857.4,12522.2,12.8,5.6,10.8,4.8,5.2,6.4,585.6,71.2
BB18,1,F,2.00E-01,1.70E-01,17000,58200,11.95454964,2.899921335,224.6,172.4,110.6,6315,4.8,12,4.4,6,5.2,5.6,32.8,410.8
BB18,2,F,9.10E-01,8.10E-01,16600,50600,54.9631112,16.06635859,117,122.4,76.4,3432.8,4,4.4,4.4,4.8,5.2,5.2,41.6,130
BB18,3,F,7.00E-01,5.10E-01,12400,23800,56.3694894,21.63838179,73.8,75.4,65.4,1620.2,5.6,21.2,5.6,6,6,5.2,61.6,674
BB18,4,F,3.00E-01,8.00E-02,32400,8000,9.410680793,9.971913199,3033.6,75,71.8,53,7.6,11.2,5.6,6,5.2,6.4,850,70.8
BB20,1,F,2.00E-01,1.70E-01,63200,89000,3.119678221,1.957319635,9046,27274.6,14208.4,6949.4,9.6,16.4,4.8,14.4,8,9.6,35.2,123.6
BB20,2,F,7.00E-01,6.20E-01,24200,33200,29.03753406,18.69071824,8332,23097.6,13769.2,21468,4.8,13.2,4.4,5.2,5.2,6.8,41.6,301.6
BB20,3,F,5.20E-01,4.70E-01,29200,51000,17.84221678,9.246424825,22357.4,24003.4,8657.6,11281,6.4,19.2,5.6,6.8,6.4,6.8,61.2,437.6
BB20,4,F,2.50E-01,1.00E-01,120000,55600,2.0790639,1.802445139,848.2,30291.2,8360.2,10530.8,10.4,7.2,7.2,4,4.8,6.8,136.4,80.8
BB21,1,F,2.20E-01,2.60E-01,87800,74200,2.549657829,3.483545541,2821.4,6393,2629.8,4132.4,8,8.4,4.4,5.2,5.6,5.6,381.6,432.8
BB21,2,F,6.70E-01,9.20E-01,26200,38200,25.56019678,24.0025959,4247.2,4290.4,3593.8,3467.4,6.8,8,4,5.6,5.2,6,304,702.8
BB21,3,F,5.70E-01,5.00E-01,87000,47200,6.524118904,10.59772223,3703,2807.2,2885.4,2679.6,9.6,10,5.6,6,5.6,6.4,408,417.6
BB21,4,F,3.20E-01,2.00E-01,98400,40200,3.290291911,5.093630174,2611.2,3995.2,4405,2264.6,10.8,9.6,5.6,4.8,5.6,6.4,521.6,350.8
BB23,1,F,1.50E-01,7.90E-02,108000,167200,1.37294869,0.472457444,115.6,75.8,46.4,9158.4,4.8,5.6,4.4,5.6,4.8,5.2,36.8,982
BB23,2,F,4.60E-01,5.00E-01,32600,22600,14.03975622,22.00412645,77.8,58,52.2,3638.2,4,6.4,4.4,6,5.2,5.6,40.8,304
BB23,3,F,6.70E-01,3.30E-01,23600,26200,28.22360977,12.43933379,60.6,46,36.8,1674,5.2,27.2,5.6,5.6,6,5.6,60.4,772.8
BB23,4,F,2.00E-01,5.90E-02,100600,17800,1.974823425,3.295428706,10434.2,47.6,44.8,28.6,6.8,6,5.2,4.8,5.2,5.2,62.4,73.6
BB24,1,F,1.80E-01,2.80E-01,14800,85000,12.14537657,3.260662147,174.4,125.8,89.8,4404.6,4,16,4.4,5.2,4.8,5.2,36.4,1129.6
BB24,2,F,5.30E-01,7.50E-01,3600,29800,146.4005489,25.1190757,97.6,116.6,86.2,5326.4,4,5.6,4,5.2,4.8,5.2,41.6,188.4
BB24,3,F,5.60E-01,4.40E-01,6600,33600,84.5525888,13.21785148,116.8,95,79.2,1478.6,5.6,26.4,5.2,5.2,6,5.6,60.8,800.8
BB24,4,F,2.30E-01,1.00E-01,12000,17600,18.93020554,5.906536773,3113.4,76.8,67,59.2,5.2,10.4,5.2,6,5.2,4.8,52.4,79.6
BB25,1,F,1.60E-01,9.00E-02,54200,122000,2.896896975,0.734242916,12.2,16.6,9.4,5447,4.4,28.4,4,6,4.8,11.2,34.8,535.6
BB25,2,F,5.70E-01,4.90E-01,60200,119800,9.42854393,4.078538703,18.2,21.8,7.8,10371.8,4.4,4.4,4.4,4.8,4.8,5.2,40.8,291.2
BB25,3,F,6.00E-01,4.20E-01,74600,136400,8.046704684,3.101191998,26.6,20,11.8,1451.6,4.8,18,5.2,5.2,6,5.6,59.2,760
BB25,4,F,7.70E-02,8.60E-02,31600,50400,2.450965388,1.710701444,3114.6,14.6,13,109.2,16.8,5.6,5.2,4.8,5.6,6.4,697.2,74
BB26,1,F,1.90E-01,1.20E-01,20800,57800,9.053518555,2.129691826,3582.8,9624,1448.4,4079.6,6.4,13.2,4.4,5.2,4.8,5.6,107.2,215.2
BB26,2,F,7.90E-01,7.50E-01,18200,45200,43.31628634,16.64740768,5229,12416.8,3165.8,3423,11.2,10,4.4,5.2,5.6,6,130.8,254.4
BB26,3,F,6.00E-01,4.90E-01,20400,49800,29.42569458,9.927435263,8177.4,4807.8,2624.8,2069,18,18,5.2,6,6.8,6,160.4,244.4
BB26,4,F,2.20E-01,8.90E-02,16000,49000,13.6856883,1.810804437,2552.6,7610.4,2667.8,1766.2,6,15.2,5.2,4.8,5.6,6.8,92.4,180.8
BB33,1,C,2.90E-01,2.80E-01,64800,398400,4.549025077,0.700491358,6967.8,4368.2,2148.8,10212.8,8.4,11.2,5.2,5.2,5.6,4.8,98.8,4
BB33,2,C,2.10E-01,4.70E-01,32000,257600,6.447151382,1.830619822,6796.2,3854.2,4731,3319.4,12.8,4.8,4.8,4,4.8,4.8,901.2,773.2
BB33,3,C,1.40E-01,1.20E-01,31000,297000,4.550808125,0.403765321,5697.8,4394.4,2519,1358.8,771.2,4.4,4,4.4,4.8,4.4,32,842
BB33,4,C,1.70E-03,2.30E-01,19600,70400,0.084562943,3.203222617,6511.4,4000.6,1267,1956.8,6,5.2,5.6,4.4,5.2,6,491.6,550.8
BB34,1,C,2.50E-02,3.30E-01,1200,144600,21.05960791,2.253876524,10,13.2,7.8,5800.4,4,22.8,4.4,5.2,5.2,5.2,14.4,66.4
BB34,2,C,2.70E-02,4.30E-01,600,78000,45.04920736,5.523526756,9.4,8,12.2,10017.2,4.4,13.6,5.2,4.4,4.8,5.2,60.4,208
BB34,3,C,4.40E-02,1.10E-01,12400,15600,3.581255115,7.098582424,9.4,16.2,9.4,21.8,41.6,5.2,4.4,5.2,4.8,4.8,4.4,62.8
BB34,4,C,0.00E+00,1.90E-01,3600,176800,0,1.06511983,12,11.4,9.6,5903,5.2,7.6,6,4.4,5.2,6,50.8,912.4
BB36,1,C,3.50E-02,3.80E-01,1000,80000,34.94783759,4.696860603,8.2,16,5.4,2476.6,3.6,84.8,4.4,4.8,4.8,6.8,14.8,52.8
BB36,2,C,3.20E-02,3.10E-01,1600,81200,20.00598735,3.831307231,4.8,8.6,11.2,3986,4,150.4,5.2,5.6,4.8,9.6,56.8,158.4
BB36,3,C,2.90E-02,6.40E-02,800,2800,36.56625329,22.79982998,7.2,15.8,6.8,5,40.4,4.4,4.4,4.8,4.8,4.8,4.4,56.4
BB36,4,C,0.00E+00,1.70E-01,2200,71600,0,2.357198627,8.4,10.8,11.6,1017.2,5.2,10.4,6,4.4,5.6,5.6,48.8,386
BB37,1,C,1.40E-01,3.10E-01,63400,111600,2.24381358,2.769057681,125,13642,3073.4,13287.4,4,15.2,4.8,6,5.2,5.2,14,427.6
BB37,2,C,1.10E-01,3.10E-01,19400,45200,5.606622106,6.928925724,78.2,5970,8192.4,7204,18.8,17.2,5.2,4.4,4.8,5.2,256.8,160
BB37,3,C,3.50E-02,1.30E-01,7400,91200,4.664418331,1.433616145,164.2,13518.4,6983.2,4792.2,119.6,5.6,4.8,5.2,4.4,4.8,6,111.2
BB37,4,C,1.50E-04,1.80E-01,39400,66600,0.00393345,2.698972571,539.8,4561.2,5223.2,4117.2,8.4,9.6,6.4,5.6,5.6,5.6,173.2,218.8
BB38,1,C,1.80E-01,2.60E-01,167800,45400,1.071225109,5.65335876,13.6,43.8,33,1464.8,4,16,4.4,4.8,4.8,5.2,12.4,75.6
BB38,2,C,1.50E-01,3.40E-01,17000,29800,9.013234903,11.52504766,8,22.6,50.6,7196.8,4,14.8,4.8,4.4,4.4,5.2,63.2,230
BB38,3,C,5.80E-02,1.70E-01,4200,147000,13.81737598,1.129989217,9.6,45.2,41,53.8,48.4,4.4,4.4,4.8,5.2,4.8,4,64
BB38,4,C,1.60E-04,1.70E-01,25200,60600,0.006508731,2.82958793,14.8,24.2,57,1836.4,5.2,8,6,7.6,4.8,5.6,55.2,420.4
BB39,1,C,1.70E-01,3.00E-01,36600,51400,4.61135032,5.813211175,5616.4,869.2,805.4,3193.8,24.8,38.4,6,6.8,6.4,7.2,50.4,984
BB39,2,C,7.30E-02,2.80E-01,43200,24200,1.688596895,11.61176676,2324,640.8,1504.2,2664.2,26.4,32.4,5.6,4.8,6.8,6,423.6,305.6
BB39,3,C,9.50E-02,1.60E-01,48400,109400,1.958464749,1.506273495,2333,856.2,1137.6,1524.8,586.4,21.2,5.6,5.6,6,6,36.4,415.2
BB39,4,C,8.70E-04,1.80E-01,44600,59600,0.019589435,3.039575422,5907,676.8,1561,934.8,23.2,16.8,7.2,6.8,6,6.8,675.2,513.6
BB41,1,C,1.40E-02,2.00E-01,2400,252000,6.028873208,0.794361202,670.2,13567.8,83,20474.8,4.8,9.2,286.4,700.8,5.6,4.8,16,75.6
BB41,2,C,5.30E-02,5.60E-01,2600,178400,20.46109711,3.128066626,1294.2,6971.8,6018,13402.2,4.4,13.6,11.2,12,5.2,5.6,61.6,221.2
BB41,3,C,4.40E-02,3.90E-02,10800,163600,4.064386781,0.238410581,792.2,8042.8,4117.8,2716.2,42.4,4.4,39.2,54.4,4.8,5.2,6,57.2
BB41,4,C,0.00E+00,2.60E-01,6400,239200,0,1.073003711,1275.4,2874.6,4757.6,4389.2,5.6,20,6.4,24.4,42.8,6.8,50.8,690
BB43,1,C,2.40E-01,3.10E-01,23600,29200,10.20012759,10.58311086,224.2,2549,1570.2,7058,4,47.6,5.2,7.2,5.2,71.2,15.2,104
BB43,2,C,1.20E-01,3.70E-01,5400,39400,22.59819595,9.29711498,4520.6,9645.8,11248.6,10392.2,5.2,6.4,8.8,10,4.8,4.8,87.2,58.8
BB43,3,C,1.60E-01,1.30E-01,18400,24800,8.672466614,5.317168088,210.4,1353,1316.2,1621.4,44.4,140,5.2,12.4,18.4,77.6,39.6,537.6
BB43,4,C,4.20E-04,1.70E-01,6000,84000,0.069573427,2.025242701,810.2,1347.6,1311.8,3014.2,32.4,21.6,24.8,8.4,5.2,16,55.6,335.6
